,posX_passer,posY_passer,received_PosX,received_PosY,isForward,isSucceeded,receiverId,Player_id,Team,matchDuration,Time block,Zone,Area Football Pitch,Angle Passe,Pass type,Pass length,Playing direction_first half,Playing direction_second half,Pressure level,Distance to first opponent,Outpassed opponents,total_passes,pass_day,pass_hour,pass_minute,pass_second,start_day,start_hour,start_minute,time_process_hour,time_process_minute,time_process_second
0,32,58,26,55,1,1,95583.0,95582,0,66.22186666666667,1,0,15,0.4636476090008061,0,-0.5939395388892443,0,0,2,-1.164443705970982,0,29,5,11,39,15,5,11,36,0,3,2
1,16,23,20,29,0,1,95601.0,95582,0,66.22186666666667,1,0,17,2.158798930342464,1,-0.45703255293911804,0,0,0,0.45842567858476485,0,29,5,11,39,59,5,11,36,0,3,46
2,92,56,68,52,1,1,95597.0,95582,0,66.22186666666667,1,1,3,0.1651486774146269,0,1.242573395988208,0,0,1,-0.7850360498768919,0,29,5,11,41,47,5,11,36,0,5,34
3,72,55,76,62,0,1,95587.0,95582,0,66.22186666666667,1,1,6,2.089942441041419,1,-0.2639845916795205,0,0,1,0.2008180598924153,0,29,5,11,45,55,5,11,36,0,9,42
4,74,53,83,50,0,1,95579.0,95582,0,66.22186666666667,1,1,6,2.819842099193151,2,0.0,0,0,1,-0.026348991391809167,0,29,5,11,46,1,5,11,36,0,9,48
5,24,48,20,48,1,0,,95582,0,66.22186666666667,2,0,15,0.0,0,-1.3620783082806858,0,0,2,-1.1400769252954017,2,29,5,11,47,53,5,11,36,0,11,40
6,90,33,67,19,1,1,95594.0,95582,0,66.22186666666667,2,1,2,0.5467888408892474,0,1.3781137589543457,0,0,0,0.4640071225613515,1,29,5,11,52,1,5,11,36,0,15,48
7,17,59,10,29,0,0,,95582,0,66.22186666666667,2,0,15,1.341564393517901,1,1.662857927662802,0,0,0,0.4252277308747451,2,29,5,11,52,20,5,11,36,0,16,7
8,82,44,78,58,0,1,95583.0,95582,0,66.22186666666667,2,1,6,1.292496667789785,1,0.5539989277153303,0,0,0,1.4471808156485082,0,29,5,11,53,13,5,11,36,0,17,0
9,79,50,86,54,0,1,95579.0,95582,0,66.22186666666667,2,1,6,2.62244653934327,2,-0.2639845916795205,0,0,1,-0.4006352504738175,0,29,5,11,53,17,5,11,36,0,17,4
10,45,63,46,48,0,1,95601.0,95582,0,66.22186666666667,2,2,12,1.63736449057072,1,0.5939395388892443,0,0,0,0.6210989280340984,0,29,5,11,56,3,5,11,36,0,19,50
11,43,44,42,49,0,1,95583.0,95582,0,66.22186666666667,2,2,12,1.373400766945016,1,-0.920412273297687,0,0,0,0.2471336338581233,0,29,5,11,56,17,5,11,36,0,20,4
12,52,61,54,64,0,0,,95582,0,66.22186666666667,2,2,9,2.158798930342464,1,-1.4461035929181751,0,0,2,-1.7055704338395008,1,29,5,11,57,59,5,11,36,0,21,46
13,69,61,66,64,0,0,,95582,0,66.22186666666667,3,1,6,0.7853981633974483,0,-1.1521748037349773,0,0,2,-1.0041313313244866,1,29,5,11,58,20,5,11,36,0,22,7
14,30,62,37,62,0,1,95597.0,95582,0,66.22186666666667,3,0,15,3.141592653589793,2,-0.5583922312531167,0,0,1,-0.5969353414048867,0,29,5,11,59,5,5,11,36,0,22,52
15,32,42,25,48,1,0,,95582,0,66.22186666666667,3,0,14,0.7086262721276699,0,-0.043924024540264145,0,0,1,-0.8126540791496972,0,29,5,12,1,44,5,11,36,0,25,31
16,33,42,29,42,1,0,,95582,0,66.22186666666667,3,0,14,0.0,0,-1.3620783082806858,0,0,1,0.19570017830120398,0,29,5,12,2,3,5,11,36,0,25,50
17,22,42,18,35,0,1,95587.0,95582,0,66.22186666666667,4,0,14,1.051650212548374,1,-0.2639845916795205,0,0,0,0.4808394206668124,0,29,5,12,11,14,5,11,36,0,35,1
18,20,44,20,47,0,1,95587.0,95582,0,66.22186666666667,4,0,15,1.570796326794897,1,-1.7055704338395008,0,0,0,0.7529974415343902,0,29,5,12,14,16,5,11,36,0,38,3
19,46,42,45,57,0,1,95583.0,95582,0,66.22186666666667,4,2,11,1.504228163019073,1,0.5939395388892443,0,0,1,0.11441489263000099,0,29,5,12,15,58,5,11,36,0,39,45
20,78,40,93,20,0,1,95595.0,95582,0,66.22186666666667,4,1,5,2.214297435588181,1,1.2668604147849325,0,0,0,0.28874990115702187,1,29,5,12,17,8,5,11,36,0,40,55
21,49,33,57,32,0,1,95601.0,95582,0,66.22186666666667,5,2,11,3.017237659043032,2,-0.2639845916795205,0,0,0,1.1402887379504614,0,29,5,12,30,4,5,11,36,0,53,51
22,45,37,39,56,0,1,95583.0,95582,0,66.22186666666667,5,2,11,1.264917455390044,1,0.9515182841460368,0,0,0,0.8857650144503812,0,29,5,12,30,12,5,11,36,0,53,59
23,28,56,15,59,1,0,,95582,0,66.22186666666667,6,0,15,0.2267988480538858,0,0.43072729929545744,0,0,1,-0.40063525047382886,0,29,5,12,31,29,5,11,36,0,55,16
24,65,19,69,18,0,1,95601.0,95582,0,66.22186666666667,6,2,7,2.896613990462929,2,-1.2502418557878947,0,0,2,-1.4319708910352655,0,29,5,12,33,25,5,11,36,0,57,12
25,41,53,34,52,1,1,95583.0,95582,0,66.22186666666667,6,2,12,0.141897054604164,0,-0.5106307929450439,0,0,2,-1.2180019723677067,0,29,5,12,38,39,5,11,36,1,2,26
26,14,31,18,35,0,1,95579.0,95582,0,66.22186666666667,6,0,17,2.356194490192345,1,-0.8074289049225601,0,0,1,-0.16001041128444526,0,29,5,12,40,6,5,11,36,1,3,53
27,6,34,19,34,0,1,95988.0,95582,0,66.22186666666667,6,0,17,3.141592653589793,2,0.39384741763566583,0,0,1,-0.47380967366369614,0,29,5,12,41,3,5,11,36,1,4,50
28,38,25,30,32,1,1,95594.0,95582,0,66.22186666666667,6,2,11,0.7188299996216245,0,0.13844353805389234,0,0,0,0.34415365894707195,1,29,5,12,41,47,5,11,36,1,5,34
29,37,12,35,15,0,1,95594.0,95585,0,66.22186666666667,1,2,10,0.9827937232473292,1,-1.4461035929181751,0,0,2,-1.8358890575671387,0,20,5,11,37,14,5,11,36,0,1,1
30,66,11,63,19,0,1,95594.0,95585,0,66.22186666666667,1,2,7,1.212025656524324,1,-0.15746946013461435,0,0,0,1.605796018002105,0,20,5,11,38,11,5,11,36,0,1,58
31,65,14,70,19,0,1,95595.0,95585,0,66.22186666666667,2,2,7,2.356194490192345,1,-0.5106307929450439,0,0,0,0.2678837675840495,0,20,5,11,49,28,5,11,36,0,13,15
32,23,18,19,15,1,1,95602.0,95585,0,66.22186666666667,2,0,13,0.6435011087932843,0,-1.0041313313244866,0,0,1,0.089192496007224,0,20,5,11,50,53,5,11,36,0,14,40
33,84,0,80,9,0,1,95601.0,95585,0,66.22186666666667,3,1,1,1.152571997215667,1,0.017564865040990845,0,0,1,-0.7765277585872264,0,20,5,12,2,46,5,11,36,0,26,33
34,73,23,73,26,0,1,95601.0,95585,0,66.22186666666667,3,1,5,1.570796326794897,1,-1.7055704338395008,0,0,1,-0.8126540791496972,0,20,5,12,5,15,5,11,36,0,29,2
35,28,5,19,7,1,1,95597.0,95585,0,66.22186666666667,4,0,13,0.2186689458739419,0,-0.043924024540264145,0,0,0,0.344153658947074,0,20,5,12,10,39,5,11,36,0,34,26
36,56,7,38,11,1,0,,95585,0,66.22186666666667,4,2,7,0.2186689458739419,0,0.85709679665622,0,0,0,0.5790394381393529,0,20,5,12,13,35,5,11,36,0,37,22
37,49,0,53,7,0,1,95601.0,95585,0,66.22186666666667,4,2,10,2.089942441041419,1,-0.2639845916795205,0,0,0,0.6580429849889554,0,20,5,12,15,46,5,11,36,0,39,33
38,70,5,56,23,0,1,95602.0,95585,0,66.22186666666667,4,1,4,0.9097531579442095,1,1.1257762007300158,0,0,1,-0.31764959351109384,0,20,5,12,17,17,5,11,36,0,41,4
39,79,13,91,-1,0,0,,95585,0,66.22186666666667,4,1,4,2.279422598922567,1,0.85709679665622,0,0,1,-0.18803291253891447,0,20,5,12,18,13,5,11,36,0,42,0
40,72,3,66,6,1,0,,95585,0,66.22186666666667,5,1,4,0.4636476090008061,0,-0.5939395388892443,0,0,2,-1.5799683530411253,0,20,5,12,27,12,5,11,36,0,50,59
41,71,26,69,31,0,0,,95585,0,66.22186666666667,5,1,5,1.190289949682532,1,-0.8480746535481313,0,0,0,0.7347302643987955,0,20,5,12,29,23,5,11,36,0,53,10
42,17,9,11,3,0,1,95597.0,95585,0,66.22186666666667,6,0,13,0.7853981633974483,0,-0.18547963396527678,0,0,1,-0.6363865203698571,0,20,5,12,35,5,5,11,36,0,58,52
43,12,4,9,1,1,1,95583.0,95585,0,66.22186666666667,6,0,16,0.7853981633974483,0,-1.1521748037349773,0,0,1,0.07849106494463466,0,20,5,12,35,19,5,11,36,0,59,6
44,36,0,39,6,0,1,95601.0,95585,0,66.22186666666667,6,2,10,2.034443935795703,1,-0.5939395388892443,0,0,1,-0.1803766849109751,0,20,5,12,36,25,5,11,36,1,0,12
45,38,0,39,6,0,1,95601.0,95585,0,66.22186666666667,6,2,10,1.735945004209523,1,-0.7135985159874969,0,0,2,-1.0752065081884394,1,20,5,12,36,40,5,11,36,1,0,27
46,67,1,62,-1,1,0,,95585,0,66.22186666666667,6,1,4,0.3805063771123649,0,-0.8480746535481313,0,0,1,-0.15746946013461377,0,20,5,12,37,12,5,11,36,1,0,59
47,75,7,64,15,1,0,,95585,0,66.22186666666667,6,1,4,0.6287962864154326,0,0.4626104126272192,0,0,0,0.3789773215364093,0,20,5,12,37,36,5,11,36,1,1,23
48,41,35,43,40,0,0,,95585,0,66.22186666666667,6,2,11,1.951302703907261,1,-0.8480746535481313,0,0,2,-1.6443685367638392,0,20,5,12,41,9,5,11,36,1,4,56
49,63,34,59,32,0,0,,95584,0,66.22186666666667,1,2,11,2.677945044588987,2,-1.084195157559207,1,1,2,-1.3813636807162488,1,13,5,11,42,17,5,11,36,0,6,4
50,10,35,0,41,0,1,95591.0,95584,0,66.22186666666667,1,1,2,2.601173153319209,2,0.25490199055947255,1,1,1,-0.6549304836891209,1,13,5,11,42,27,5,11,36,0,6,14
51,68,31,74,13,0,1,95592.0,95584,0,66.22186666666667,1,0,14,1.249045772398254,1,0.887839189110502,1,1,1,-0.7217137762174166,1,13,5,11,44,48,5,11,36,0,8,35
52,31,44,53,46,1,0,,95584,0,66.22186666666667,2,1,4,0.09065988720074511,0,1.0932722699878596,1,1,1,-0.11609879865939744,1,13,5,11,48,56,5,11,36,0,12,43
53,37,31,40,39,0,1,95588.0,95584,0,66.22186666666667,2,2,8,1.212025656524324,1,-0.15746946013461435,1,1,1,-0.5032384782767005,0,13,5,11,51,43,5,11,36,0,15,30
